method,seed,generation,best_fitness,average_fitness,best_prefix,best_operator_count,average_operator_count,genotypic_diversity,structural_diversity,behavioral_diversity,generation_time_seconds,actual_fitness_evaluations
GEP,42,0,0.47672274925574554,0.4196057128376508,(+ (max K B) V),2,0.475,1.0,0.6,0.525,160.18073850000656,24
GEP,42,1,0.47672274925574554,0.43211836581371454,(+ (max K B) V),2,0.375,0.975,0.35,0.325,7.415456100003212,25
GEP,42,2,0.5328508398555939,0.44547085304490014,(+ C (min #5 S)),2,0.5,1.0,0.3,0.25,20.03514140000334,29
GEP,42,3,0.5506533361282427,0.4637317513541571,(+ (max #5 (- K B)) (* D (abs B))),5,1.325,0.975,0.35,0.3,31.26832590000413,34
GEP,42,4,0.5812349941028355,0.49866383018600224,(+ (max #5 (- (* B V) L)) (* D K)),5,2.325,0.925,0.35,0.325,40.35240630000044,41
GEP,42,5,0.5812349941028355,0.5332537568001225,(+ (max #5 (- (* B V) L)) (* D K)),5,3.075,0.95,0.45,0.425,53.789253000002645,50
GEP,42,6,0.5833179123749243,0.5379590767588988,(+ (+ #5 (- (* B V) L)) (* D K)),5,3.9,0.9,0.575,0.525,78.16498430000502,63
GEP,42,7,0.5833179123749243,0.5549047891138538,(+ (+ #5 (- (* B V) L)) (* D K)),5,4.25,0.75,0.425,0.4,57.57929729999887,73
GEP,42,8,0.5833179123749243,0.5548179402259911,(+ (+ #5 (- (* B V) L)) (* D K)),5,4.9,0.675,0.35,0.35,42.24793250000221,79
GEP,42,9,0.5833179123749243,0.554402261055019,(+ (+ #5 (- (* B V) L)) (* D K)),5,4.875,0.7,0.3,0.275,53.014582099996915,86
GEP,42,10,0.5916017637735573,0.5521508756315867,(+ (+ V (- (* B V) L)) (* D K)),5,4.975,0.6,0.325,0.325,60.67564229999698,95
GEP,42,11,0.5916017637735573,0.5629502039860175,(+ (+ V (- (* B V) L)) (* D K)),5,5.0,0.65,0.325,0.325,61.219551199996204,105
GEP,42,12,0.6549076965252432,0.5599075620653603,(+ (+ #5 (- (* B V) L)) (* D S)),5,4.75,0.75,0.375,0.375,43.560440900000685,114
GEP,42,13,0.6549076965252432,0.5764390429791059,(+ (+ #5 (- (* B V) L)) (* D S)),5,4.875,0.825,0.475,0.45,56.59171400000196,126
GEP,42,14,0.6549076965252432,0.6052837964919189,(+ (+ #5 (- (* B V) L)) (* D S)),5,4.825,0.675,0.4,0.4,41.881659499995294,135
GEP,42,15,0.6549076965252432,0.615015774532913,(+ (+ #5 (- (* B V) L)) (* D S)),5,4.75,0.675,0.375,0.375,37.333466700001736,143
GEP,42,16,0.6549076965252432,0.637996680833566,(+ (+ #5 (- (* B V) L)) (* D S)),5,5.05,0.55,0.225,0.225,19.695725600002334,149
