method,seed,generation,best_fitness,average_fitness,best_prefix,best_operator_count,average_operator_count,structural_diversity,behavioral_diversity,generation_time_seconds,actual_fitness_evaluations
GP,42,0,0.5957780054559133,0.45421717426920605,(* B V),1,3.0,1.0,0.775,151.26023830000122,40
GP,42,1,0.642404970025987,0.49028845340688776,(max (* (+ B S) #3) M),3,2.225,0.875,0.7,82.53766429999814,64
GP,42,2,0.642404970025987,0.517988989127049,(max (* (+ B S) #3) M),3,2.9,0.9,0.8,100.8905599000027,92
GP,42,3,0.642404970025987,0.527472145239789,(max (* (+ B S) #3) M),3,2.875,0.85,0.75,93.62541259999853,117
GP,42,4,0.642404970025987,0.5583605199009775,(max (* (+ B S) #3) M),3,3.575,0.825,0.8,92.34452269999747,143
GP,42,5,0.6437165382215664,0.577442227104749,(* (+ B S) #3),2,3.65,0.825,0.725,76.00565990000177,166
GP,42,6,0.6445140423988397,0.5880300715057285,(+ K (* (+ B S) #3)),3,3.375,0.75,0.625,52.11058590000175,184
GP,42,7,0.6445140423988397,0.6047508960979606,(+ K (* (+ B S) #3)),3,2.825,0.625,0.475,45.257237100002385,201
GP,42,8,0.6445140423988397,0.5829049964205546,(+ K (* (+ B S) #3)),3,2.925,0.8,0.65,65.25698340000235,221
GP,42,9,0.650478664615801,0.5808412582041741,(max (* (* (* (* B S) #3) #3) #3) M),5,3.2,0.825,0.55,93.00222610000128,238
GP,42,10,0.650478664615801,0.598898910950818,(max (* (* (* (* B S) #3) #3) #3) M),5,3.275,0.825,0.575,78.60626220000267,256
GP,42,11,0.650478664615801,0.586785632914355,(max (* (* (* (* B S) #3) #3) #3) M),5,3.3,0.825,0.675,79.11493340000015,272
GP,42,12,0.650478664615801,0.5814547234541954,(max (* (* (* (* B S) #3) #3) #3) M),5,3.4,0.7,0.7,95.84546160000173,292
GP,42,13,0.650478664615801,0.5832726771483946,(max (* (* (* (* B S) #3) #3) #3) M),5,3.325,0.825,0.7,92.17329760000212,311
GP,42,14,0.650478664615801,0.5882009519142078,(max (* (* (* (* B S) #3) #3) #3) M),5,3.875,0.825,0.65,57.66865420000249,324
GP,42,15,0.650478664615801,0.6043612828965877,(max (* (* (* (* B S) #3) #3) #3) M),5,3.575,0.65,0.525,39.306680000001506,332
GP,42,16,0.650478664615801,0.5579966718127716,(max (* (* (* (* B S) #3) #3) #3) M),5,3.125,0.775,0.625,92.10882159999892,349
GP,42,17,0.650478664615801,0.5787075525410736,(max (* (* (* (* B S) #3) #3) #3) M),5,3.675,0.725,0.65,75.17860930000097,365
GP,42,18,0.650478664615801,0.577330060394266,(max (* (* (* (* B S) #3) #3) #3) M),5,3.825,0.675,0.575,72.40193,379
GP,42,19,0.650478664615801,0.5752397900862067,(max (* (* (* (* B S) #3) #3) #3) M),5,4.025,0.675,0.575,93.8367388000006,396
GP,42,20,0.650478664615801,0.5885267092853408,(max (* (* (* (* B S) #3) #3) #3) M),5,4.075,0.575,0.475,71.47591049999755,409
GP,42,21,0.650478664615801,0.5875482615895242,(max (* (* (* (* B S) #3) #3) #3) M),5,4.1,0.525,0.4,43.49700289999964,417
GP,42,22,0.650478664615801,0.5987438765425054,(max (* (* (* (* B S) #3) #3) #3) M),5,4.175,0.45,0.35,40.06679470000017,425
GP,42,23,0.650478664615801,0.6018359150165884,(max (* (* (* (* B S) #3) #3) #3) M),5,4.4,0.425,0.325,38.075354500000685,432
GP,42,24,0.650478664615801,0.6068090620338397,(max (* (* (* (* B S) #3) #3) #3) M),5,4.4,0.5,0.35,49.3562591000009,441
GP,42,25,0.650478664615801,0.5799912439202337,(max (* (* (* (* B S) #3) #3) #3) M),5,3.925,0.525,0.425,61.60450800000035,451
GP,43,0,0.5333872829915013,0.4405001517205391,(+ B B),1,2.475,1.0,0.875,245.20700750000105,40
GP,43,1,0.5745262904553847,0.4788011874739227,(+ (abs C) (max C (+ B S))),4,2.525,0.95,0.95,156.70876510000016,67
GP,43,2,0.5824612454099761,0.5026220753355054,(+ (max C (+ B S)) B),3,2.575,0.825,0.775,113.8642099000026,88
GP,43,3,0.6233792112560481,0.5158376106189029,(* (* V D) S),2,2.85,0.825,0.8,118.81320409999898,111
GP,43,4,0.6299968617917001,0.551879999490387,(* (* (+ (max C (+ B S)) B) S) S),5,3.375,0.875,0.825,99.15696319999915,132
GP,43,5,0.639073111726187,0.5630229605984319,(* (* (* (* (* V D) S) S) B) S),5,3.625,0.85,0.85,89.56380219999846,152
GP,43,6,0.639073111726187,0.5937913233306447,(* (* (* (* (* V D) S) S) B) S),5,4.3,0.8,0.75,80.62029769999936,171
GP,43,7,0.639073111726187,0.5945524331716574,(* (* (* (* (* V D) S) S) B) S),5,4.4,0.8,0.8,88.1400042000023,192
GP,43,8,0.639073111726187,0.5833635918463467,(* (* (* (* (* V D) S) S) B) S),5,4.0,0.825,0.8,96.8520258000026,214
