problem,split,heuristic,method,seed,success,solution_length,optimal_length,solution_gap,nodes_expanded,nodes_generated,heuristic_evaluations,time_limit_seconds,node_limit,runtime_seconds_median,ebf,operator_count,tree_depth,prefix_expression,infix_expression,termination_reason
1,train,h1,Original,,1,8,8,0.0,992,1081,2073,5.0,,0.09356390000175452,2.195941942110437,,,,,goal
1,train,h2,Original,,1,9,8,0.125,752,982,1734,5.0,,0.07667049999872688,1.9242593695019536,,,,,goal
1,train,h4,Original,,1,8,8,0.0,473,1061,1534,5.0,,0.04536550000193529,1.9780660308642837,,,,,goal
1,train,h_admissible,Original,,1,8,8,0.0,960,1082,2042,5.0,,0.07357140000385698,2.185919686161128,,,,,goal
1,train,h5,Original,,1,8,8,0.0,460,1052,1512,5.0,,0.04534649999550311,1.970198892944154,,,,,goal
1,train,GP_1,GP,,1,8,8,0.0,45,256,301,5.0,,0.0019074000010732561,1.3792962750885636,3,4,(* (* (* V S) B) S),(((V * S) * B) * S),goal
1,train,GP_2,GP,,1,8,8,0.0,45,256,301,5.0,,0.002264299997477792,1.3792962750885636,5,6,(* (* (* (* (* V S) B) S) S) S),(((((V * S) * B) * S) * S) * S),goal
1,train,GP_3,GP,,1,8,8,0.0,87,406,493,5.0,,0.004907899994577747,1.5362157524214126,7,6,(+ (+ S B) (+ (+ B (min (abs K) (min S B))) B)),"((S + B) + ((B + min(abs(K), min(S, B))) + B))",goal
1,train,GEP_1,GEP,,1,9,8,0.125,36,195,231,5.0,,0.0016552000015508384,1.265992001077393,4,4,(* (* (* S V) (* C V)) S),(((S * V) * (C * V)) * S),goal
1,train,GEP_2,GEP,,1,9,8,0.125,36,195,231,5.0,,0.0016475000011269003,1.265992001077393,3,4,(* S (* (* V C) S)),(S * ((V * C) * S)),goal
1,train,GEP_3,GEP,,1,8,8,0.0,106,470,576,5.0,,0.006087800000386778,1.5845079705613898,3,4,(+ B (+ S (+ B B))),(B + (S + (B + B))),goal
2,train,h1,Original,,1,8,8,0.0,1170,1880,3050,5.0,,0.1074637999990955,2.246944109364847,,,,,goal
2,train,h2,Original,,1,9,8,0.125,267,692,959,5.0,,0.037958499997330364,1.6842660139327563,,,,,goal
2,train,h4,Original,,1,8,8,0.0,321,939,1260,5.0,,0.04075870000087889,1.8706292542046867,,,,,goal
2,train,h_admissible,Original,,1,8,8,0.0,933,1648,2581,5.0,,0.10364629999821773,2.17722957988326,,,,,goal
2,train,h5,Original,,1,8,8,0.0,289,891,1180,5.0,,0.05106769999838434,1.8422390113410074,,,,,goal
2,train,GP_1,GP,,1,10,8,0.25,37,210,247,5.0,,0.003092599996307399,1.2250697680283338,3,4,(* (* (* V S) B) S),(((V * S) * B) * S),goal
2,train,GP_2,GP,,1,10,8,0.25,37,210,247,5.0,,0.004003499998361804,1.2250697680283338,5,6,(* (* (* (* (* V S) B) S) S) S),(((((V * S) * B) * S) * S) * S),goal
2,train,GP_3,GP,,1,10,8,0.25,61,252,313,5.0,,0.005614000001514796,1.3139191065565683,7,6,(+ (+ S B) (+ (+ B (min (abs K) (min S B))) B)),"((S + B) + ((B + min(abs(K), min(S, B))) + B))",goal
2,train,GEP_1,GEP,,1,11,8,0.375,24,148,172,5.0,,0.002669399997103028,1.119090028339997,4,4,(* (* (* S V) (* C V)) S),(((S * V) * (C * V)) * S),goal
