heuristic,method,seed,solved,total_puzzles,success_rate,time_limit_failures,node_limit_failures,optimal_solutions,optimal_rate_among_solved,mean_solution_gap,mean_nodes_expanded,mean_runtime_seconds,median_runtime_seconds,operator_count,tree_depth,prefix_expression,infix_expression,quality_rank,node_efficiency_rank,runtime_rank,complexity_rank,generated_rank,performance_score,overall_rank,generated_score
h_admissible,Original,,8,8,1.0,0,0,8,1.0,0.0,2251.125,0.21566463749968534,0.12617169999793987,,,,,1,8,11,,,0.837256394549903,1,
h1,Original,,8,8,1.0,0,0,8,1.0,0.0,2487.875,0.21461127499969734,0.1257012499991106,,,,,1,9,10,,,0.8224117687273905,2,
GEP_3,GEP,,8,8,1.0,0,0,7,0.875,0.0125,1835.875,0.12094323750079639,0.0634810000010475,3,4,(+ B (+ S (+ B B))),(B + (S + (B + B))),3,4,5,3,1,0.8994262276373252,3,0.9094836048735926
h4,Original,,8,8,1.0,0,0,6,0.75,0.015499194847020933,1810.375,0.19420391250059765,0.10785735000172281,,,,,4,2,8,,,0.8768142362473432,4,
GP_3,GP,,8,8,1.0,0,0,6,0.75,0.017934782608695653,1769.125,0.11510112499945535,0.06573610000123153,7,6,(+ (+ S B) (+ (+ B (min (abs K) (min S B))) B)),"((S + B) + ((B + min(abs(K), min(S, B))) + B))",5,1,6,6,2,0.9033287616531545,5,0.8558530283449819
h5,Original,,8,8,1.0,0,0,5,0.625,0.027999194847020934,1821.75,0.18560633750075795,0.0976339500011818,,,,,6,3,7,,,0.8762848828916059,6,
h2,Original,,8,8,1.0,0,0,3,0.375,0.046907339324618734,2196.5,0.25298266249774315,0.12453979999918374,,,,,7,7,9,,,0.830357983198621,7,
GEP_1,GEP,,8,8,1.0,0,0,2,0.25,0.07865440735894402,2570.5,0.16606338749807037,0.025301149998995243,4,4,(* (* (* S V) (* C V)) S),(((S * V) * (C * V)) * S),8,10,1,4,3,0.9194185659116233,8,0.9024767093204611
GEP_2,GEP,,8,8,1.0,0,0,2,0.25,0.07865440735894402,2570.5,0.1695759625017672,0.02921815000445349,3,4,(* S (* (* V C) S)),(S * ((V * C) * S)),8,10,2,2,4,0.8993094898500251,9,0.9093785408650226
GP_2,GP,,8,8,1.0,0,0,2,0.25,0.08328403698857366,1940.25,0.1269096374999208,0.03588830000080634,5,6,(* (* (* (* (* V S) B) S) S) S),(((((V * S) * B) * S) * S) * S),10,5,3,5,5,0.9188898285555426,10,0.8870008456999883
GP_1,GP,,8,8,1.0,0,0,2,0.25,0.08328403698857366,1943.375,0.12855435000074067,0.04179705000206013,3,4,(* (* (* V S) B) S),(((V * S) * B) * S),10,6,4,1,6,0.9036470207096432,11,0.9132823186386789
